Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
10/11,Away,1,Arsenal,8,7,4,39,28,31
10/11,Away,2,Manchester City,8,4,7,26,21,28
10/11,Away,3,Chelsea,7,5,7,30,20,26
10/11,Away,4,Tottenham Hotspur,7,5,7,25,27,26
10/11,Away,5,Manchester United,5,10,4,29,25,25
10/11,Away,6,Sunderland,5,6,8,20,29,21
10/11,Away,7,Everton,4,8,7,20,22,20
10/11,Away,8,Newcastle United,5,5,9,15,30,20
10/11,Away,9,Wigan Athletic,4,7,8,18,27,19
10/11,Away,10,Blackpool,5,4,10,25,41,19
10/11,Away,11,Fulham,3,9,7,19,20,18
10/11,Away,12,Liverpool,5,3,11,22,30,18
10/11,Away,13,West Bromwich Albion,4,5,10,26,41,17
10/11,Away,14,Aston Villa,4,5,10,22,40,17
10/11,Away,15,Blackburn Rovers,4,3,12,24,43,15
10/11,Away,16,Birmingham City,2,7,10,18,36,13
10/11,Away,17,West Ham United,2,7,10,19,39,13
10/11,Away,18,Stoke City,3,3,13,15,30,12
10/11,Away,19,Wolverhampton Wanderers,3,3,13,16,36,12
10/11,Away,20,Bolton Wanderers,2,5,12,18,32,11
