Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
11/12,Home,1,Manchester City,18,1,0,55,12,55
11/12,Home,2,Manchester United,15,2,2,52,19,47
11/12,Home,3,Tottenham Hotspur,13,3,3,39,17,42
11/12,Home,4,Arsenal,12,4,3,39,17,40
11/12,Home,5,Chelsea,12,3,4,41,24,39
11/12,Home,6,Newcastle United,11,5,3,29,17,38
11/12,Home,7,Fulham,10,5,4,36,26,35
11/12,Home,8,Everton,10,3,6,28,15,33
11/12,Home,9,Swansea City,8,7,4,27,18,31
11/12,Home,10,Stoke City,7,8,4,25,20,29
11/12,Home,11,Sunderland,7,7,5,26,17,28
11/12,Home,12,Liverpool,6,9,4,24,16,27
11/12,Home,13,Norwich City,7,6,6,28,30,27
11/12,Home,14,Queens Park Rangers,7,5,7,24,25,26
11/12,Home,15,Wigan Athletic,5,7,7,22,27,22
11/12,Home,16,West Bromwich Albion,6,3,10,21,22,21
11/12,Home,17,Aston Villa,4,7,8,20,25,19
11/12,Home,18,Blackburn Rovers,6,1,12,26,33,19
11/12,Home,19,Bolton Wanderers,4,4,11,23,39,16
11/12,Home,20,Wolverhampton Wanderers,3,3,13,19,43,12
