Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
93/94,All,1,Manchester United,27,11,4,80,38,92
93/94,All,2,Blackburn Rovers,25,9,8,63,36,84
93/94,All,3,Newcastle United,23,8,11,82,41,77
93/94,All,4,Arsenal,18,17,7,53,28,71
93/94,All,5,Leeds United,18,16,8,65,39,70
93/94,All,6,Wimbledon,18,11,13,56,53,65
93/94,All,7,Sheffield Wednesday,16,16,10,76,54,64
93/94,All,8,Liverpool,17,9,16,59,55,60
93/94,All,9,Queens Park Rangers,16,12,14,62,61,60
93/94,All,10,Aston Villa,15,12,15,46,50,57
93/94,All,11,Coventry City,14,14,14,43,45,56
93/94,All,12,Norwich City,12,17,13,65,61,53
93/94,All,13,West Ham United,13,13,16,47,58,52
93/94,All,14,Chelsea,13,12,17,49,53,51
93/94,All,15,Tottenham Hotspur,11,12,19,54,59,45
93/94,All,16,Manchester City,9,18,15,38,49,45
93/94,All,17,Everton,12,8,22,42,63,44
93/94,All,18,Southampton,12,7,23,49,66,43
93/94,All,19,Ipswich Town,9,16,17,35,58,43
93/94,All,20,Sheffield United,8,18,16,42,60,42
93/94,All,21,Oldham Athletic,9,13,20,42,68,40
93/94,All,22,Swindon Town,5,15,22,47,100,30
